event,pc_time_sec,arduino_time_ms,encoder_count,dcount,start_arduino_ms,start_count,elapsed_ms_from_start,pulse_from_start
START,1783313611.4045365,9603,0,,9603,0,0,0
START,1783313654.1772873,52361,223,,52361,223,0,0
SPACE,1783313664.5476773,62727,1553,,52361,223,10366,1330
START,1783313702.6467423,100810,1571,,100810,1571,0,0
SPACE,1783313710.6582692,108819,2145,,100810,1571,8009,574
START,1783313748.5896215,146737,2121,,146737,2121,0,0
START,1783313771.399389,169539,1962,,169539,1962,0,0
SPACE,1783313787.393092,185526,3909,,169539,1962,15987,1947
START,1783313872.7745636,270875,1880,,270875,1880,0,0
SPACE,1783313881.4456723,279546,3689,,270875,1880,8671,1809
SPACE,1783313881.9492562,280047,4002,,270875,1880,9172,2122
START,1783313920.4785838,318562,1764,,318562,1764,0,0
SPACE,1783313927.6301043,325711,3505,,318562,1764,7149,1741
START,1783313969.5549345,367622,1706,,367622,1706,0,0
START,1783313980.5154963,378579,1686,,378579,1686,0,0
SPACE,1783313988.1046596,386163,3406,,378579,1686,7584,1720
START,1783314047.7030702,445741,1496,,445741,1496,0,0
START,1783314048.186282,446225,1496,,446225,1496,0,0
START,1783314048.2313528,446259,1496,,446259,1496,0,0
START,1783314048.2560325,446295,1496,,446295,1496,0,0
START,1783314048.2681894,446306,1496,,446306,1496,0,0
START,1783314048.3013353,446339,1496,,446339,1496,0,0
SPACE,1783314055.4441261,453481,3263,,446339,1496,7142,1767
START,1783314132.3802607,530386,1414,,530386,1414,0,0
SPACE,1783314147.3582666,545356,3163,,530386,1414,14970,1749
START,1783314166.055943,564050,1383,,564050,1383,0,0
SPACE,1783314186.0067031,583993,3134,,564050,1383,19943,1751
START,1783314247.6797986,644856,1377,,644856,1377,0,0
SPACE,1783314270.862571,668029,3132,,644856,1377,23173,1755
